ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
SchoolAge4,I-VT filter,,92,,Unclassified,8,594,544,620.39,620.39,0,0
SchoolAge4,I-VT filter,,96,,Unclassified,8,594,546,620.38,620.38,0,0
SchoolAge4,I-VT filter,,99,,Unclassified,8,588,544,620.42,620.42,0,0
SchoolAge4,I-VT filter,,102,1,Fixation,127,580,542,620.37,620.37,0,0
SchoolAge4,I-VT filter,,106,1,Fixation,127,578,549,620.36,620.36,0,0
SchoolAge4,I-VT filter,,109,1,Fixation,127,576,546,620.36,620.36,0,0
SchoolAge4,I-VT filter,,112,1,Fixation,127,581,544,620.36,620.36,0,0
SchoolAge4,I-VT filter,,116,1,Fixation,127,575,544,620.36,620.36,0,0
SchoolAge4,I-VT filter,,119,1,Fixation,127,576,548,620.38,620.38,0,0
SchoolAge4,I-VT filter,,122,1,Fixation,127,577,552,620.39,620.39,0,0
SchoolAge4,I-VT filter,,126,1,Fixation,127,580,550,620.38,620.38,0,0
SchoolAge4,I-VT filter,,129,1,Fixation,127,582,551,620.38,620.38,0,0
SchoolAge4,I-VT filter,,132,1,Fixation,127,580,544,620.4,620.4,0,0
SchoolAge4,I-VT filter,,136,1,Fixation,127,580,551,620.37,620.37,0,0
SchoolAge4,I-VT filter,,139,1,Fixation,127,580,548,620.37,620.37,0,0
SchoolAge4,I-VT filter,,142,1,Fixation,127,575,553,620.35,620.35,0,0
SchoolAge4,I-VT filter,,146,1,Fixation,127,578,550,620.35,620.35,0,0
SchoolAge4,I-VT filter,,149,1,Fixation,127,579,553,620.33,620.33,0,0
SchoolAge4,I-VT filter,,152,1,Fixation,127,583,549,620.34,620.34,0,0
SchoolAge4,I-VT filter,,156,1,Fixation,127,579,543,620.35,620.35,0,0
SchoolAge4,I-VT filter,,159,1,Fixation,127,580,552,620.34,620.34,0,0
SchoolAge4,I-VT filter,,162,1,Fixation,127,581,551,620.33,620.33,0,0
SchoolAge4,I-VT filter,,166,1,Fixation,127,581,546,620.33,620.33,0,0
SchoolAge4,I-VT filter,,169,1,Fixation,127,581,545,620.35,620.35,0,0
SchoolAge4,I-VT filter,,172,1,Fixation,127,581,546,620.35,620.35,0,0
SchoolAge4,I-VT filter,,176,1,Fixation,127,580,549,620.36,620.36,0,0
SchoolAge4,I-VT filter,,179,1,Fixation,127,580,547,620.37,620.37,0,0
SchoolAge4,I-VT filter,,182,1,Fixation,127,581,550,620.37,620.37,0,0
SchoolAge4,I-VT filter,,186,1,Fixation,127,579,550,620.37,620.37,0,0
SchoolAge4,I-VT filter,,189,1,Fixation,127,583,548,620.32,620.32,0,0
SchoolAge4,I-VT filter,,192,1,Fixation,127,576,553,620.39,620.39,0,0
SchoolAge4,I-VT filter,,196,1,Fixation,127,578,546,620.37,620.37,0,0
SchoolAge4,I-VT filter,,199,1,Fixation,127,579,554,620.37,620.37,0,0
SchoolAge4,I-VT filter,,202,1,Fixation,127,578,547,620.37,620.37,0,0
SchoolAge4,I-VT filter,,206,1,Fixation,127,577,553,620.37,620.37,0,0
SchoolAge4,I-VT filter,,209,1,Fixation,127,579,547,620.4,620.4,0,0
SchoolAge4,I-VT filter,,212,1,Fixation,127,581,551,620.36,620.36,0,0
SchoolAge4,I-VT filter,,216,1,Fixation,127,577,551,620.34,620.34,0,0
SchoolAge4,I-VT filter,,219,1,Fixation,127,580,549,620.34,620.34,0,0
SchoolAge4,I-VT filter,,222,1,Fixation,127,578,544,620.34,620.34,0,0
SchoolAge4,I-VT filter,,226,1,Fixation,127,577,548,620.35,620.35,0,0
SchoolAge4,I-VT filter,,229,,Saccade,47,586,550,620.34,620.34,0,0
SchoolAge4,I-VT filter,,232,,Saccade,47,580,553,620.36,620.36,0,0
SchoolAge4,I-VT filter,,236,,Saccade,47,569,552,620.44,620.44,0,0
SchoolAge4,I-VT filter,,239,,Saccade,47,554,553,620.43,620.43,0,0
SchoolAge4,I-VT filter,,242,,Saccade,47,543,549,620.46,620.46,0,0
SchoolAge4,I-VT filter,,246,,Saccade,47,537,548,620.53,620.53,0,0
SchoolAge4,I-VT filter,,249,,Saccade,47,533,553,620.6,620.6,0,0
