ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
SchoolAge2,I-VT filter,,122,,Unclassified,8,1808,1014,649.01,649.01,0,0
SchoolAge2,I-VT filter,,125,,Unclassified,8,1785,1002,649.01,649.01,0,0
SchoolAge2,I-VT filter,,128,,Unclassified,8,1832,1010,682.48,682.48,0,0
SchoolAge2,I-VT filter,,132,,Unclassified,3,1833,996,682.08,682.08,0,0
SchoolAge2,I-VT filter,,135,,Saccade,20,1842,999,682.17,682.17,0,0
SchoolAge2,I-VT filter,,138,,Saccade,20,1772,944,648.99,648.99,0,0
SchoolAge2,I-VT filter,,142,,Saccade,20,1814,1009,682.17,682.17,0,0
SchoolAge2,I-VT filter,,145,,Saccade,20,1831,1006,682.15,682.15,0,0
SchoolAge2,I-VT filter,,148,,Saccade,20,1816,982,682.12,682.12,0,0
SchoolAge2,I-VT filter,,152,,Saccade,20,1775,969,649,649,0,0
SchoolAge2,I-VT filter,,155,,Unclassified,7,1774,975,648.98,648.98,0,0
SchoolAge2,I-VT filter,,158,,Unclassified,7,1792,996,648.99,648.99,0,0
SchoolAge2,I-VT filter,,162,,Saccade,13,1773,982,648.97,648.97,0,0
SchoolAge2,I-VT filter,,165,,Saccade,13,1814,1019,648.97,648.97,0,0
SchoolAge2,I-VT filter,,168,,Saccade,13,1813,1005,682.63,682.63,0,0
SchoolAge2,I-VT filter,,172,,Saccade,13,1813,950,682.35,682.35,0,0
SchoolAge2,I-VT filter,,175,,Unclassified,3,1778,945,648.95,648.95,0,0
SchoolAge2,I-VT filter,,178,,Saccade,37,1812,966,682.23,682.23,0,0
SchoolAge2,I-VT filter,,182,,Saccade,37,1789,1024,648.95,648.95,0,0
SchoolAge2,I-VT filter,,185,,Saccade,37,1826,1017,682.76,682.76,0,0
SchoolAge2,I-VT filter,,188,,Saccade,37,1754,963,648.94,648.94,0,0
SchoolAge2,I-VT filter,,192,,Saccade,37,1796,999,648.93,648.93,0,0
SchoolAge2,I-VT filter,,195,,Saccade,37,1811,1022,648.93,648.93,0,0
SchoolAge2,I-VT filter,,198,,Saccade,37,1773,895,648.92,648.92,0,0
SchoolAge2,I-VT filter,,202,,Saccade,37,1810,994,682.25,682.25,0,0
SchoolAge2,I-VT filter,,205,,Saccade,37,1800,982,648.93,648.93,0,0
SchoolAge2,I-VT filter,,208,,Saccade,37,1768,1004,648.93,648.93,0,0
SchoolAge2,I-VT filter,,212,,Saccade,37,1833,1005,682.29,682.29,0,0
SchoolAge2,I-VT filter,,215,,Unclassified,3,1757,938,648.95,648.95,0,0
SchoolAge2,I-VT filter,,218,,Saccade,13,1794,1027,648.92,648.92,0,0
SchoolAge2,I-VT filter,,222,,Saccade,13,1809,966,682.08,682.08,0,0
SchoolAge2,I-VT filter,,225,,Saccade,13,,,,,4,4
SchoolAge2,I-VT filter,,228,,Saccade,13,1807,985,682.21,682.21,0,0
SchoolAge2,I-VT filter,,232,,Unclassified,3,1799,967,682.3,682.3,0,0
SchoolAge2,I-VT filter,,235,,Saccade,20,1808,969,682.32,682.32,0,0
SchoolAge2,I-VT filter,,238,,Saccade,20,1829,990,681.8,681.8,0,0
SchoolAge2,I-VT filter,,242,,Saccade,20,1784,958,648.96,648.96,0,0
SchoolAge2,I-VT filter,,245,,Saccade,20,1787,947,648.99,,0,4
SchoolAge2,I-VT filter,,248,,Saccade,20,1794,930,649.05,649.05,0,0
SchoolAge2,I-VT filter,,252,,Saccade,20,1812,922,649.06,649.06,0,0
SchoolAge2,I-VT filter,,255,,Unclassified,7,1811,919,649.08,649.08,0,0
