ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
SchoolAge6,I-VT filter,,106,,Unclassified,8,979,454,719.96,719.96,0,0
SchoolAge6,I-VT filter,,109,,Unclassified,8,982,457,719.93,719.93,0,0
SchoolAge6,I-VT filter,,112,,Unclassified,8,968,458,719.94,719.94,0,0
SchoolAge6,I-VT filter,,116,1,Fixation,210,980,448,719.93,719.93,0,0
SchoolAge6,I-VT filter,,119,1,Fixation,210,978,445,719.9,719.9,0,0
SchoolAge6,I-VT filter,,122,1,Fixation,210,981,460,719.89,719.89,0,0
SchoolAge6,I-VT filter,,126,1,Fixation,210,985,449,719.87,719.87,0,0
SchoolAge6,I-VT filter,,129,1,Fixation,210,976,470,719.86,719.86,0,0
SchoolAge6,I-VT filter,,132,1,Fixation,210,981,461,719.8,719.8,0,0
SchoolAge6,I-VT filter,,136,1,Fixation,210,987,460,719.75,719.75,0,0
SchoolAge6,I-VT filter,,139,1,Fixation,210,979,448,719.73,719.73,0,0
SchoolAge6,I-VT filter,,142,1,Fixation,210,983,458,719.71,719.71,0,0
SchoolAge6,I-VT filter,,146,1,Fixation,210,979,455,719.7,719.7,0,0
SchoolAge6,I-VT filter,,149,1,Fixation,210,974,452,719.71,719.71,0,0
SchoolAge6,I-VT filter,,152,1,Fixation,210,981,452,719.68,719.68,0,0
SchoolAge6,I-VT filter,,156,1,Fixation,210,981,467,719.64,719.64,0,0
SchoolAge6,I-VT filter,,159,1,Fixation,210,985,459,719.64,719.64,0,0
SchoolAge6,I-VT filter,,162,1,Fixation,210,981,465,719.6,719.6,0,0
SchoolAge6,I-VT filter,,166,1,Fixation,210,978,449,719.55,719.55,0,0
SchoolAge6,I-VT filter,,169,1,Fixation,210,984,462,719.54,719.54,0,0
SchoolAge6,I-VT filter,,172,1,Fixation,210,980,456,719.5,719.5,0,0
SchoolAge6,I-VT filter,,176,1,Fixation,210,976,455,719.49,719.49,0,0
SchoolAge6,I-VT filter,,179,1,Fixation,210,978,458,719.46,719.46,0,0
SchoolAge6,I-VT filter,,182,1,Fixation,210,977,460,719.42,719.42,0,0
SchoolAge6,I-VT filter,,186,1,Fixation,210,988,453,719.37,719.37,0,0
SchoolAge6,I-VT filter,,189,1,Fixation,210,984,455,719.37,719.37,0,0
SchoolAge6,I-VT filter,,192,1,Fixation,210,983,460,719.32,719.32,0,0
SchoolAge6,I-VT filter,,196,1,Fixation,210,975,463,719.3,719.3,0,0
SchoolAge6,I-VT filter,,199,1,Fixation,210,974,456,719.28,719.28,0,0
SchoolAge6,I-VT filter,,202,1,Fixation,210,976,455,719.26,719.26,0,0
SchoolAge6,I-VT filter,,206,1,Fixation,210,973,464,719.21,719.21,0,0
SchoolAge6,I-VT filter,,209,1,Fixation,210,984,454,719.21,719.21,0,0
SchoolAge6,I-VT filter,,212,1,Fixation,210,978,445,719.13,719.13,0,0
SchoolAge6,I-VT filter,,216,1,Fixation,210,977,462,719.12,719.12,0,0
SchoolAge6,I-VT filter,,219,1,Fixation,210,973,454,719.11,719.11,0,0
SchoolAge6,I-VT filter,,222,1,Fixation,210,973,450,719.08,719.08,0,0
SchoolAge6,I-VT filter,,226,1,Fixation,210,988,464,719.06,719.06,0,0
SchoolAge6,I-VT filter,,229,1,Fixation,210,979,448,719.02,719.02,0,0
SchoolAge6,I-VT filter,,232,1,Fixation,210,981,453,718.99,718.99,0,0
SchoolAge6,I-VT filter,,236,1,Fixation,210,981,463,718.99,718.99,0,0
SchoolAge6,I-VT filter,,239,1,Fixation,210,980,461,718.95,718.95,0,0
SchoolAge6,I-VT filter,,242,1,Fixation,210,981,451,718.94,718.94,0,0
SchoolAge6,I-VT filter,,246,1,Fixation,210,973,462,718.92,718.92,0,0
SchoolAge6,I-VT filter,,249,1,Fixation,210,975,448,718.9,718.9,0,0
SchoolAge6,I-VT filter,,252,1,Fixation,210,972,448,718.91,718.91,0,0
SchoolAge6,I-VT filter,,256,1,Fixation,210,979,450,718.89,718.89,0,0
SchoolAge6,I-VT filter,,259,1,Fixation,210,978,448,718.88,718.88,0,0
SchoolAge6,I-VT filter,,262,1,Fixation,210,986,459,718.85,718.85,0,0
SchoolAge6,I-VT filter,,266,1,Fixation,210,983,462,718.82,718.82,0,0
SchoolAge6,I-VT filter,,269,1,Fixation,210,977,456,718.81,718.81,0,0
SchoolAge6,I-VT filter,,272,1,Fixation,210,974,454,718.79,718.79,0,0
SchoolAge6,I-VT filter,,276,1,Fixation,210,975,453,718.78,718.78,0,0
SchoolAge6,I-VT filter,,279,1,Fixation,210,980,457,718.76,718.76,0,0
SchoolAge6,I-VT filter,,282,1,Fixation,210,977,451,718.78,718.78,0,0
SchoolAge6,I-VT filter,,286,1,Fixation,210,979,454,718.79,718.79,0,0
SchoolAge6,I-VT filter,,289,1,Fixation,210,979,450,718.75,718.75,0,0
SchoolAge6,I-VT filter,,292,1,Fixation,210,974,464,718.75,718.75,0,0
SchoolAge6,I-VT filter,,296,1,Fixation,210,983,445,718.74,718.74,0,0
SchoolAge6,I-VT filter,,299,1,Fixation,210,970,455,718.75,718.75,0,0
SchoolAge6,I-VT filter,,302,1,Fixation,210,970,453,718.74,718.74,0,0
SchoolAge6,I-VT filter,,306,1,Fixation,210,980,458,718.79,718.79,0,0
