ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
JE000328_03,I-VT filter,,21,,Unclassified,8,1040,447,662.9,662.9,0,0
JE000328_03,I-VT filter,,24,,Unclassified,8,1031,446,662.9,662.9,0,0
JE000328_03,I-VT filter,,28,,Unclassified,8,1015,427,662.9,662.9,0,0
JE000328_03,I-VT filter,,31,,Saccade,3,1031,440,662.9,662.9,0,0
JE000328_03,I-VT filter,,35,,Unclassified,10,1042,430,663.03,663.03,0,0
JE000328_03,I-VT filter,,38,,Unclassified,10,1044,435,663.03,663.03,0,0
JE000328_03,I-VT filter,,41,,Unclassified,10,1014,439,663.04,663.04,0,0
JE000328_03,I-VT filter,,44,,Saccade,3,1018,442,663.32,663.32,0,0
JE000328_03,I-VT filter,,48,,Unclassified,3,1035,432,663.32,663.32,0,0
JE000328_03,I-VT filter,,51,,Saccade,3,1037,458,663.32,663.32,0,0
JE000328_03,I-VT filter,,54,,Unclassified,3,1009,446,663.32,663.32,0,0
JE000328_03,I-VT filter,,58,,Saccade,30,1028,430,663.32,663.32,0,0
JE000328_03,I-VT filter,,61,,Saccade,30,1056,447,663.32,663.32,0,0
JE000328_03,I-VT filter,,64,,Saccade,30,1018,437,663.88,663.88,0,0
JE000328_03,I-VT filter,,68,,Saccade,30,1004,433,663.33,663.33,0,0
JE000328_03,I-VT filter,,71,,Saccade,30,991,450,663.33,663.33,0,0
JE000328_03,I-VT filter,,74,,Saccade,30,982,440,664.17,664.17,0,0
JE000328_03,I-VT filter,,78,,Saccade,30,933,450,663.9,663.9,0,0
JE000328_03,I-VT filter,,81,,Saccade,30,932,441,663.35,663.35,0,0
JE000328_03,I-VT filter,,84,,Saccade,30,942,455,664.18,664.18,0,0
JE000328_03,I-VT filter,,88,,Unclassified,10,949,455,663.77,663.77,0,0
JE000328_03,I-VT filter,,91,,Unclassified,10,953,430,663.35,663.35,0,0
JE000328_03,I-VT filter,,94,,Unclassified,10,917,438,663.64,663.64,0,0
JE000328_03,I-VT filter,,98,,Saccade,7,930,450,663.37,663.37,0,0
JE000328_03,I-VT filter,,101,,Saccade,7,938,449,663.37,663.37,0,0
JE000328_03,I-VT filter,,105,,Unclassified,10,947,432,663.37,663.37,0,0
JE000328_03,I-VT filter,,108,,Unclassified,10,946,480,664.2,664.2,0,0
JE000328_03,I-VT filter,,111,,Unclassified,10,933,447,664.2,664.2,0,0
JE000328_03,I-VT filter,,114,,Saccade,7,925,442,663.52,663.52,0,0
JE000328_03,I-VT filter,,118,,Saccade,7,913,444,663.52,663.52,0,0
JE000328_03,I-VT filter,,121,,Unclassified,17,930,452,663.51,663.51,0,0
JE000328_03,I-VT filter,,124,,Unclassified,17,920,446,663.51,663.51,0,0
JE000328_03,I-VT filter,,128,,Unclassified,17,938,426,663.51,663.51,0,0
JE000328_03,I-VT filter,,131,,Unclassified,17,936,449,664.08,664.08,0,0
JE000328_03,I-VT filter,,135,,Unclassified,17,928,432,663.52,663.52,0,0
JE000328_03,I-VT filter,,138,,Saccade,3,917,444,663.53,663.53,0,0
JE000328_03,I-VT filter,,141,,Unclassified,13,918,442,663.53,663.53,0,0
JE000328_03,I-VT filter,,144,,Unclassified,13,918,430,663.53,663.53,0,0
JE000328_03,I-VT filter,,148,,Unclassified,13,908,440,663.11,663.11,0,0
JE000328_03,I-VT filter,,151,,Unclassified,13,941,445,663.52,663.52,0,0
JE000328_03,I-VT filter,,154,,Saccade,3,925,446,663.52,663.52,0,0
JE000328_03,I-VT filter,,158,,Unclassified,3,908,433,663.52,663.52,0,0
JE000328_03,I-VT filter,,161,,Saccade,10,919,440,663.8,663.8,0,0
JE000328_03,I-VT filter,,164,,Saccade,10,924,467,663.53,663.53,0,0
JE000328_03,I-VT filter,,168,,Saccade,10,923,449,663.53,663.53,0,0
JE000328_03,I-VT filter,,171,,Unclassified,17,917,457,663.11,663.11,0,0
JE000328_03,I-VT filter,,174,,Unclassified,17,909,472,662.7,662.7,0,0
JE000328_03,I-VT filter,,178,,Unclassified,17,933,452,663.53,663.53,0,0
JE000328_03,I-VT filter,,181,,Unclassified,17,915,436,663.53,663.53,0,0
JE000328_03,I-VT filter,,184,,Unclassified,17,903,477,663.53,663.53,0,0
JE000328_03,I-VT filter,,188,,Saccade,10,935,456,663.53,663.53,0,0
JE000328_03,I-VT filter,,191,,Saccade,10,918,457,663.25,663.25,0,0
JE000328_03,I-VT filter,,194,,Saccade,10,919,455,662.69,662.69,0,0
JE000328_03,I-VT filter,,198,,Unclassified,27,914,467,662.7,662.7,0,0
JE000328_03,I-VT filter,,201,,Unclassified,27,925,469,663.12,663.12,0,0
JE000328_03,I-VT filter,,204,,Unclassified,27,924,447,662.69,662.69,0,0
JE000328_03,I-VT filter,,208,,Unclassified,27,923,453,663.53,663.53,0,0
JE000328_03,I-VT filter,,211,,Unclassified,27,922,461,663.52,663.52,0,0
JE000328_03,I-VT filter,,214,,Unclassified,27,922,451,662.7,662.7,0,0
JE000328_03,I-VT filter,,218,,Unclassified,27,907,464,662.69,662.69,0,0
JE000328_03,I-VT filter,,221,,Unclassified,27,918,451,662.7,662.7,0,0
JE000328_03,I-VT filter,,224,,Saccade,3,918,445,662.7,662.7,0,0
JE000328_03,I-VT filter,,228,,Unclassified,7,929,462,662.7,662.7,0,0
JE000328_03,I-VT filter,,231,,Unclassified,7,911,459,662.7,662.7,0,0
JE000328_03,I-VT filter,,234,,Saccade,3,896,465,662.7,662.7,0,0
JE000328_03,I-VT filter,,238,,Unclassified,7,923,458,661.87,661.87,0,0
JE000328_03,I-VT filter,,241,,Unclassified,7,908,457,662.7,662.7,0,0
JE000328_03,I-VT filter,,244,,Saccade,3,942,456,,0,4,0
JE000328_03,I-VT filter,,248,,Unclassified,7,937,453,662.71,662.71,0,0
JE000328_03,I-VT filter,,251,,Unclassified,7,923,452,662.71,662.71,0,0
JE000328_03,I-VT filter,,254,,Saccade,3,914,445,661.88,661.88,0,0
JE000328_03,I-VT filter,,258,,Unclassified,7,902,448,661.88,661.88,0,0
JE000328_03,I-VT filter,,261,,Unclassified,7,922,451,662.58,662.58,0,0
JE000328_03,I-VT filter,,264,,Saccade,7,913,439,662.58,662.58,0,0
JE000328_03,I-VT filter,,268,,Saccade,7,916,463,661.75,661.75,0,0
JE000328_03,I-VT filter,,271,,Unclassified,3,939,451,661.76,661.76,0,0
JE000328_03,I-VT filter,,274,,Saccade,3,945,456,661.76,661.76,0,0
JE000328_03,I-VT filter,,278,,Unclassified,3,922,485,661.76,661.76,0,0
JE000328_03,I-VT filter,,281,,Saccade,10,931,467,662.59,662.59,0,0
JE000328_03,I-VT filter,,284,,Saccade,10,929,463,662.59,662.59,0,0
JE000328_03,I-VT filter,,288,,Saccade,10,928,450,661.77,661.77,0,0
JE000328_03,I-VT filter,,291,,Unclassified,3,889,419,661.78,661.78,0,0
JE000328_03,I-VT filter,,294,,Saccade,3,918,449,661.78,661.78,0,0
JE000328_03,I-VT filter,,298,,Unclassified,3,932,450,661.1,661.1,0,0
JE000328_03,I-VT filter,,301,,Saccade,3,925,447,661.1,661.1,0,0
JE000328_03,I-VT filter,,304,,Unclassified,10,912,422,661.1,661.1,0,0
JE000328_03,I-VT filter,,308,,Unclassified,10,929,451,661.11,661.11,0,0
JE000328_03,I-VT filter,,311,,Unclassified,10,912,448,661.11,661.11,0,0
JE000328_03,I-VT filter,,314,,Saccade,3,924,447,661.53,661.53,0,0
JE000328_03,I-VT filter,,318,,Unclassified,3,928,454,661.53,661.53,0,0
JE000328_03,I-VT filter,,321,,Saccade,3,928,459,661.12,661.12,0,0
