ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
Adult3,I-VT filter,,91,,Unclassified,8,965,432,670.56,670.56,0,0
Adult3,I-VT filter,,94,,Unclassified,8,963,433,670.56,670.56,0,0
Adult3,I-VT filter,,98,,Unclassified,8,965,436,670.57,670.57,0,0
Adult3,I-VT filter,,101,,Saccade,13,959,435,670.56,670.56,0,0
Adult3,I-VT filter,,104,,Saccade,13,960,442,670.57,670.57,0,0
Adult3,I-VT filter,,108,,Saccade,13,954,451,670.55,670.55,0,0
Adult3,I-VT filter,,111,,Saccade,13,951,465,670.54,670.54,0,0
Adult3,I-VT filter,,114,1,Fixation,223,950,465,670.57,670.57,0,0
Adult3,I-VT filter,,118,1,Fixation,223,947,469,670.57,670.57,0,0
Adult3,I-VT filter,,121,1,Fixation,223,951,467,670.58,670.58,0,0
Adult3,I-VT filter,,124,1,Fixation,223,956,461,670.57,670.57,0,0
Adult3,I-VT filter,,128,1,Fixation,223,951,470,670.55,670.55,0,0
Adult3,I-VT filter,,131,1,Fixation,223,954,458,670.56,670.56,0,0
Adult3,I-VT filter,,134,1,Fixation,223,960,462,670.58,670.58,0,0
Adult3,I-VT filter,,138,1,Fixation,223,954,468,670.55,670.55,0,0
Adult3,I-VT filter,,141,1,Fixation,223,955,461,670.57,670.57,0,0
Adult3,I-VT filter,,144,1,Fixation,223,949,462,670.56,670.56,0,0
Adult3,I-VT filter,,148,1,Fixation,223,948,460,670.58,670.58,0,0
Adult3,I-VT filter,,151,1,Fixation,223,955,470,670.57,670.57,0,0
Adult3,I-VT filter,,154,1,Fixation,223,951,465,670.56,670.56,0,0
Adult3,I-VT filter,,158,1,Fixation,223,953,468,670.56,670.56,0,0
Adult3,I-VT filter,,161,1,Fixation,223,955,462,670.58,670.58,0,0
Adult3,I-VT filter,,164,1,Fixation,223,954,464,670.56,670.56,0,0
Adult3,I-VT filter,,168,1,Fixation,223,950,468,670.56,670.56,0,0
Adult3,I-VT filter,,171,1,Fixation,223,951,472,670.58,670.58,0,0
Adult3,I-VT filter,,174,1,Fixation,223,956,471,670.56,670.56,0,0
Adult3,I-VT filter,,178,1,Fixation,223,955,468,670.57,670.57,0,0
Adult3,I-VT filter,,181,1,Fixation,223,953,465,670.54,670.54,0,0
