ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
Adult7,I-VT filter,,101,,Unclassified,8,979,577,595.46,595.46,0,0
Adult7,I-VT filter,,104,,Unclassified,8,981,575,595.47,595.47,0,0
Adult7,I-VT filter,,107,,Unclassified,8,983,577,595.47,595.47,0,0
Adult7,I-VT filter,,111,1,Fixation,70,982,576,595.48,595.48,0,0
Adult7,I-VT filter,,114,1,Fixation,70,981,575,595.49,595.49,0,0
Adult7,I-VT filter,,117,1,Fixation,70,980,573,595.49,595.49,0,0
Adult7,I-VT filter,,121,1,Fixation,70,983,577,595.47,595.47,0,0
Adult7,I-VT filter,,124,1,Fixation,70,982,578,595.49,595.49,0,0
Adult7,I-VT filter,,127,1,Fixation,70,977,570,595.49,595.49,0,0
Adult7,I-VT filter,,131,1,Fixation,70,979,576,595.47,595.47,0,0
Adult7,I-VT filter,,134,1,Fixation,70,981,574,595.51,595.51,0,0
Adult7,I-VT filter,,137,1,Fixation,70,979,574,595.52,595.52,0,0
Adult7,I-VT filter,,141,1,Fixation,70,981,574,595.5,595.5,0,0
Adult7,I-VT filter,,144,1,Fixation,70,982,578,595.53,595.53,0,0
Adult7,I-VT filter,,147,1,Fixation,70,982,577,595.61,595.61,0,0
Adult7,I-VT filter,,151,1,Fixation,70,986,580,595.71,595.71,0,0
Adult7,I-VT filter,,154,1,Fixation,70,979,579,595.68,595.68,0,0
Adult7,I-VT filter,,157,1,Fixation,70,980,583,595.66,595.66,0,0
Adult7,I-VT filter,,161,1,Fixation,70,982,582,595.63,595.63,0,0
Adult7,I-VT filter,,164,1,Fixation,70,979,586,595.61,595.61,0,0
Adult7,I-VT filter,,167,1,Fixation,70,981,588,595.67,595.67,0,0
Adult7,I-VT filter,,171,1,Fixation,70,984,586,595.77,595.77,0,0
Adult7,I-VT filter,,174,1,Fixation,70,987,592,595.83,595.83,0,0
Adult7,I-VT filter,,177,1,Fixation,70,985,590,595.88,595.88,0,0
Adult7,I-VT filter,,181,,Saccade,33,988,587,595.9,595.9,0,0
Adult7,I-VT filter,,184,,Saccade,33,989,590,595.88,595.88,0,0
Adult7,I-VT filter,,187,,Saccade,33,985,599,595.87,595.87,0,0
Adult7,I-VT filter,,191,,Saccade,33,988,641,595.85,595.85,0,0
Adult7,I-VT filter,,194,,Saccade,33,1006,618,595.89,,0,4
Adult7,I-VT filter,,197,,Saccade,33,997,663,595.92,,0,4
Adult7,I-VT filter,,201,,Saccade,33,983,705,595.89,,0,4
Adult7,I-VT filter,,204,,Saccade,33,978,751,595.91,,0,4
Adult7,I-VT filter,,207,,Saccade,33,,,,,4,4
