ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
Adult5,I-VT filter,,78,,Unclassified,8,944,465,610.18,610.18,0,0
Adult5,I-VT filter,,81,,Unclassified,8,942,467,610.15,610.15,0,0
Adult5,I-VT filter,,84,,Unclassified,8,943,466,610.14,610.14,0,0
Adult5,I-VT filter,,88,1,Fixation,113,944,468,610.12,610.12,0,0
Adult5,I-VT filter,,91,1,Fixation,113,943,470,610.12,610.12,0,0
Adult5,I-VT filter,,94,1,Fixation,113,943,467,610.11,610.11,0,0
Adult5,I-VT filter,,98,1,Fixation,113,943,466,610.11,610.11,0,0
Adult5,I-VT filter,,101,1,Fixation,113,942,468,610.09,610.09,0,0
Adult5,I-VT filter,,104,1,Fixation,113,945,463,610.08,610.08,0,0
Adult5,I-VT filter,,108,1,Fixation,113,943,467,610.06,610.06,0,0
Adult5,I-VT filter,,111,1,Fixation,113,940,466,610.06,610.06,0,0
Adult5,I-VT filter,,114,1,Fixation,113,943,465,610.04,610.04,0,0
Adult5,I-VT filter,,118,1,Fixation,113,942,464,610.04,610.04,0,0
Adult5,I-VT filter,,121,1,Fixation,113,946,468,610.02,610.02,0,0
Adult5,I-VT filter,,124,1,Fixation,113,944,467,610.03,610.03,0,0
Adult5,I-VT filter,,128,1,Fixation,113,943,467,610.01,610.01,0,0
Adult5,I-VT filter,,131,1,Fixation,113,942,468,610.01,610.01,0,0
Adult5,I-VT filter,,134,1,Fixation,113,943,469,609.98,609.98,0,0
Adult5,I-VT filter,,138,1,Fixation,113,943,467,609.97,609.97,0,0
Adult5,I-VT filter,,141,1,Fixation,113,944,466,609.96,609.96,0,0
Adult5,I-VT filter,,144,1,Fixation,113,943,469,609.94,609.94,0,0
Adult5,I-VT filter,,148,1,Fixation,113,940,469,609.93,609.93,0,0
Adult5,I-VT filter,,151,1,Fixation,113,943,468,609.93,609.93,0,0
Adult5,I-VT filter,,154,1,Fixation,113,942,469,609.94,609.94,0,0
Adult5,I-VT filter,,157,1,Fixation,113,944,467,609.94,609.94,0,0
Adult5,I-VT filter,,161,1,Fixation,113,943,466,609.93,609.93,0,0
Adult5,I-VT filter,,164,1,Fixation,113,944,465,609.93,609.93,0,0
Adult5,I-VT filter,,168,1,Fixation,113,943,468,609.92,609.92,0,0
Adult5,I-VT filter,,171,1,Fixation,113,943,467,609.92,609.92,0,0
Adult5,I-VT filter,,174,1,Fixation,113,944,465,609.89,609.89,0,0
Adult5,I-VT filter,,178,1,Fixation,113,942,468,609.9,609.9,0,0
Adult5,I-VT filter,,181,1,Fixation,113,943,466,609.89,609.89,0,0
Adult5,I-VT filter,,184,1,Fixation,113,944,470,609.87,609.87,0,0
Adult5,I-VT filter,,187,1,Fixation,113,945,466,609.85,609.85,0,0
Adult5,I-VT filter,,191,1,Fixation,113,946,465,609.86,609.86,0,0
Adult5,I-VT filter,,194,1,Fixation,113,944,466,609.87,609.87,0,0
Adult5,I-VT filter,,198,1,Fixation,113,940,463,609.89,609.89,0,0
Adult5,I-VT filter,,201,,Saccade,10,934,462,609.91,609.91,0,0
Adult5,I-VT filter,,204,,Saccade,10,932,454,609.94,609.94,0,0
Adult5,I-VT filter,,208,,Saccade,10,927,454,609.94,609.94,0,0
Adult5,I-VT filter,,211,2,Fixation,1080,922,456,609.94,609.94,0,0
Adult5,I-VT filter,,214,2,Fixation,1080,919,454,609.95,609.95,0,0
Adult5,I-VT filter,,217,2,Fixation,1080,920,453,609.96,609.96,0,0
Adult5,I-VT filter,,221,2,Fixation,1080,923,452,609.96,609.96,0,0
Adult5,I-VT filter,,224,2,Fixation,1080,925,452,609.95,609.95,0,0
