ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
Adult2,I-VT filter,,88,,Unclassified,8,982,537,656.36,656.36,0,0
Adult2,I-VT filter,,91,,Unclassified,8,989,529,656.34,656.34,0,0
Adult2,I-VT filter,,94,,Unclassified,8,986,530,656.37,656.37,0,0
Adult2,I-VT filter,,98,,Saccade,13,986,532,656.39,656.39,0,0
Adult2,I-VT filter,,101,,Saccade,13,981,534,656.38,656.38,0,0
Adult2,I-VT filter,,105,,Saccade,13,970,539,656.39,656.39,0,0
Adult2,I-VT filter,,108,,Saccade,13,953,538,656.37,656.37,0,0
Adult2,I-VT filter,,111,,Unclassified,10,939,535,656.37,656.37,0,0
Adult2,I-VT filter,,115,,Unclassified,10,942,528,656.38,656.38,0,0
Adult2,I-VT filter,,118,,Unclassified,10,951,532,656.42,656.42,0,0
Adult2,I-VT filter,,121,,Saccade,7,959,529,656.37,656.37,0,0
Adult2,I-VT filter,,124,,Saccade,7,968,534,656.4,656.4,0,0
Adult2,I-VT filter,,128,1,Fixation,833,964,530,656.34,656.34,0,0
Adult2,I-VT filter,,131,1,Fixation,833,965,532,656.36,656.36,0,0
Adult2,I-VT filter,,134,1,Fixation,833,968,530,656.34,656.34,0,0
Adult2,I-VT filter,,138,1,Fixation,833,970,528,656.35,656.35,0,0
Adult2,I-VT filter,,141,1,Fixation,833,963,534,656.35,656.35,0,0
Adult2,I-VT filter,,145,1,Fixation,833,964,533,656.35,656.35,0,0
Adult2,I-VT filter,,148,1,Fixation,833,962,535,656.35,656.35,0,0
Adult2,I-VT filter,,151,1,Fixation,833,968,525,656.31,656.31,0,0
Adult2,I-VT filter,,154,1,Fixation,833,962,539,656.34,656.34,0,0
Adult2,I-VT filter,,158,1,Fixation,833,966,529,656.33,656.33,0,0
Adult2,I-VT filter,,161,1,Fixation,833,961,539,656.29,656.29,0,0
Adult2,I-VT filter,,164,1,Fixation,833,964,534,656.31,656.31,0,0
Adult2,I-VT filter,,168,1,Fixation,833,964,539,656.26,656.26,0,0
Adult2,I-VT filter,,171,1,Fixation,833,968,539,656.28,656.28,0,0
Adult2,I-VT filter,,175,1,Fixation,833,965,538,656.27,656.27,0,0
Adult2,I-VT filter,,178,1,Fixation,833,963,534,656.29,656.29,0,0
Adult2,I-VT filter,,181,1,Fixation,833,963,538,656.28,656.28,0,0
Adult2,I-VT filter,,184,1,Fixation,833,965,535,656.25,656.25,0,0
Adult2,I-VT filter,,188,1,Fixation,833,963,537,656.25,656.25,0,0
Adult2,I-VT filter,,191,1,Fixation,833,961,537,656.26,656.26,0,0
Adult2,I-VT filter,,194,1,Fixation,833,962,542,656.25,656.25,0,0
Adult2,I-VT filter,,198,1,Fixation,833,964,534,656.26,656.26,0,0
Adult2,I-VT filter,,201,1,Fixation,833,966,536,656.22,656.22,0,0
Adult2,I-VT filter,,204,1,Fixation,833,964,538,656.18,656.18,0,0
Adult2,I-VT filter,,208,1,Fixation,833,962,532,656.17,656.17,0,0
Adult2,I-VT filter,,211,1,Fixation,833,961,536,656.18,656.18,0,0
Adult2,I-VT filter,,215,1,Fixation,833,963,536,656.18,656.18,0,0
Adult2,I-VT filter,,218,1,Fixation,833,966,530,656.13,656.13,0,0
Adult2,I-VT filter,,221,1,Fixation,833,962,535,656.09,656.09,0,0
Adult2,I-VT filter,,224,1,Fixation,833,967,537,656.1,656.1,0,0
Adult2,I-VT filter,,228,1,Fixation,833,962,538,656.06,656.06,0,0
Adult2,I-VT filter,,231,1,Fixation,833,961,531,656.07,656.07,0,0
Adult2,I-VT filter,,234,1,Fixation,833,960,532,656.08,656.08,0,0
Adult2,I-VT filter,,238,1,Fixation,833,961,531,656.02,656.02,0,0
Adult2,I-VT filter,,241,1,Fixation,833,963,535,656.04,656.04,0,0
Adult2,I-VT filter,,244,1,Fixation,833,961,535,656.01,656.01,0,0
Adult2,I-VT filter,,248,1,Fixation,833,959,533,656,656,0,0
Adult2,I-VT filter,,251,1,Fixation,833,961,537,656.06,656.06,0,0
Adult2,I-VT filter,,254,1,Fixation,833,962,532,656.03,656.03,0,0
Adult2,I-VT filter,,258,1,Fixation,833,963,527,656.04,656.04,0,0
Adult2,I-VT filter,,261,1,Fixation,833,967,534,656.04,656.04,0,0
Adult2,I-VT filter,,264,1,Fixation,833,962,537,656.05,656.05,0,0
Adult2,I-VT filter,,268,1,Fixation,833,964,535,656.03,656.03,0,0
Adult2,I-VT filter,,271,1,Fixation,833,964,534,656.02,656.02,0,0
Adult2,I-VT filter,,274,1,Fixation,833,963,536,656.01,656.01,0,0
Adult2,I-VT filter,,278,1,Fixation,833,962,534,656.01,656.01,0,0
Adult2,I-VT filter,,281,1,Fixation,833,960,540,656.01,656.01,0,0
Adult2,I-VT filter,,284,1,Fixation,833,961,533,655.98,655.98,0,0
Adult2,I-VT filter,,288,1,Fixation,833,963,533,655.99,655.99,0,0
Adult2,I-VT filter,,291,1,Fixation,833,961,535,655.98,655.98,0,0
Adult2,I-VT filter,,294,1,Fixation,833,960,533,655.96,655.96,0,0
Adult2,I-VT filter,,298,1,Fixation,833,964,533,655.95,655.95,0,0
Adult2,I-VT filter,,301,1,Fixation,833,963,536,655.97,655.97,0,0
Adult2,I-VT filter,,304,1,Fixation,833,963,532,655.96,655.96,0,0
Adult2,I-VT filter,,308,1,Fixation,833,963,532,655.93,655.93,0,0
Adult2,I-VT filter,,311,1,Fixation,833,962,533,655.95,655.95,0,0
Adult2,I-VT filter,,315,1,Fixation,833,964,531,655.95,655.95,0,0
Adult2,I-VT filter,,318,1,Fixation,833,964,534,655.96,655.96,0,0
Adult2,I-VT filter,,321,1,Fixation,833,960,532,655.93,655.93,0,0
Adult2,I-VT filter,,324,1,Fixation,833,966,534,655.87,655.87,0,0
Adult2,I-VT filter,,328,1,Fixation,833,959,541,655.87,655.87,0,0
Adult2,I-VT filter,,331,1,Fixation,833,962,542,655.87,655.87,0,0
Adult2,I-VT filter,,334,1,Fixation,833,962,530,655.84,655.84,0,0
Adult2,I-VT filter,,338,1,Fixation,833,963,536,655.83,655.83,0,0
Adult2,I-VT filter,,341,1,Fixation,833,961,540,655.83,655.83,0,0
Adult2,I-VT filter,,344,1,Fixation,833,963,534,655.83,655.83,0,0
Adult2,I-VT filter,,348,1,Fixation,833,960,542,655.77,655.77,0,0
Adult2,I-VT filter,,351,1,Fixation,833,960,537,655.81,655.81,0,0
Adult2,I-VT filter,,354,1,Fixation,833,963,532,655.79,655.79,0,0
Adult2,I-VT filter,,358,1,Fixation,833,962,536,655.75,655.75,0,0
Adult2,I-VT filter,,361,1,Fixation,833,964,532,655.75,655.75,0,0
Adult2,I-VT filter,,364,1,Fixation,833,964,535,655.72,655.72,0,0
Adult2,I-VT filter,,368,1,Fixation,833,958,530,655.72,655.72,0,0
Adult2,I-VT filter,,371,1,Fixation,833,959,537,655.74,655.74,0,0
Adult2,I-VT filter,,374,1,Fixation,833,965,541,655.75,655.75,0,0
Adult2,I-VT filter,,378,1,Fixation,833,963,537,655.72,655.72,0,0
Adult2,I-VT filter,,381,1,Fixation,833,965,533,655.72,655.72,0,0
Adult2,I-VT filter,,385,1,Fixation,833,960,533,655.71,655.71,0,0
Adult2,I-VT filter,,388,1,Fixation,833,961,536,655.72,655.72,0,0
Adult2,I-VT filter,,391,1,Fixation,833,961,532,655.74,655.74,0,0
Adult2,I-VT filter,,394,1,Fixation,833,961,541,655.72,655.72,0,0
Adult2,I-VT filter,,398,1,Fixation,833,963,537,655.71,655.71,0,0
Adult2,I-VT filter,,401,1,Fixation,833,965,539,655.71,655.71,0,0
Adult2,I-VT filter,,404,1,Fixation,833,965,539,655.71,655.71,0,0
Adult2,I-VT filter,,408,1,Fixation,833,964,535,655.71,655.71,0,0
Adult2,I-VT filter,,411,1,Fixation,833,962,538,655.7,655.7,0,0
Adult2,I-VT filter,,414,1,Fixation,833,961,534,655.71,655.71,0,0
Adult2,I-VT filter,,418,1,Fixation,833,967,534,655.69,655.69,0,0
Adult2,I-VT filter,,421,1,Fixation,833,964,535,655.69,655.69,0,0
Adult2,I-VT filter,,424,1,Fixation,833,963,536,655.69,655.69,0,0
Adult2,I-VT filter,,428,1,Fixation,833,963,545,655.66,655.66,0,0
Adult2,I-VT filter,,431,1,Fixation,833,961,533,655.68,655.68,0,0
Adult2,I-VT filter,,434,1,Fixation,833,968,539,655.67,655.67,0,0
Adult2,I-VT filter,,438,1,Fixation,833,964,535,655.66,655.66,0,0
Adult2,I-VT filter,,441,1,Fixation,833,964,542,655.66,655.66,0,0
Adult2,I-VT filter,,444,1,Fixation,833,962,541,655.67,655.67,0,0
Adult2,I-VT filter,,448,1,Fixation,833,965,539,655.66,655.66,0,0
Adult2,I-VT filter,,451,1,Fixation,833,959,536,655.65,655.65,0,0
Adult2,I-VT filter,,455,1,Fixation,833,963,541,655.63,655.63,0,0
Adult2,I-VT filter,,458,1,Fixation,833,964,542,655.63,655.63,0,0
Adult2,I-VT filter,,461,1,Fixation,833,963,541,655.61,655.61,0,0
Adult2,I-VT filter,,464,1,Fixation,833,964,538,655.61,655.61,0,0
Adult2,I-VT filter,,468,1,Fixation,833,964,542,655.63,655.63,0,0
Adult2,I-VT filter,,471,1,Fixation,833,961,536,655.65,655.65,0,0
Adult2,I-VT filter,,474,1,Fixation,833,960,538,655.63,655.63,0,0
Adult2,I-VT filter,,478,1,Fixation,833,964,537,655.64,655.64,0,0
Adult2,I-VT filter,,481,1,Fixation,833,961,539,655.66,655.66,0,0
Adult2,I-VT filter,,484,1,Fixation,833,964,534,655.7,655.7,0,0
Adult2,I-VT filter,,488,1,Fixation,833,960,536,655.69,655.69,0,0
Adult2,I-VT filter,,491,1,Fixation,833,962,537,655.7,655.7,0,0
Adult2,I-VT filter,,494,1,Fixation,833,962,538,655.7,655.7,0,0
Adult2,I-VT filter,,498,1,Fixation,833,962,533,655.7,655.7,0,0
Adult2,I-VT filter,,501,1,Fixation,833,959,532,655.72,655.72,0,0
Adult2,I-VT filter,,504,1,Fixation,833,964,537,655.73,655.73,0,0
Adult2,I-VT filter,,508,1,Fixation,833,961,531,655.7,655.7,0,0
Adult2,I-VT filter,,511,1,Fixation,833,957,538,655.68,655.68,0,0
Adult2,I-VT filter,,514,1,Fixation,833,957,531,655.7,655.7,0,0
Adult2,I-VT filter,,518,1,Fixation,833,962,533,655.68,655.68,0,0
Adult2,I-VT filter,,521,1,Fixation,833,963,535,655.68,655.68,0,0
Adult2,I-VT filter,,524,1,Fixation,833,960,541,655.67,655.67,0,0
Adult2,I-VT filter,,528,1,Fixation,833,960,536,655.65,655.65,0,0
Adult2,I-VT filter,,531,1,Fixation,833,963,536,655.64,655.64,0,0
Adult2,I-VT filter,,534,1,Fixation,833,960,536,655.59,655.59,0,0
Adult2,I-VT filter,,538,1,Fixation,833,959,540,655.58,655.58,0,0
Adult2,I-VT filter,,541,1,Fixation,833,964,537,655.59,655.59,0,0
Adult2,I-VT filter,,544,1,Fixation,833,959,535,655.57,655.57,0,0
Adult2,I-VT filter,,548,1,Fixation,833,964,540,655.6,655.6,0,0
Adult2,I-VT filter,,551,1,Fixation,833,960,540,655.62,655.62,0,0
Adult2,I-VT filter,,554,1,Fixation,833,957,537,655.61,655.61,0,0
Adult2,I-VT filter,,558,1,Fixation,833,963,537,655.6,655.6,0,0
Adult2,I-VT filter,,561,1,Fixation,833,963,533,655.64,655.64,0,0
Adult2,I-VT filter,,564,1,Fixation,833,962,537,655.62,655.62,0,0
Adult2,I-VT filter,,568,1,Fixation,833,960,544,655.65,655.65,0,0
Adult2,I-VT filter,,571,1,Fixation,833,964,540,655.68,655.68,0,0
Adult2,I-VT filter,,574,1,Fixation,833,961,537,655.69,655.69,0,0
Adult2,I-VT filter,,578,1,Fixation,833,958,548,655.7,655.7,0,0
Adult2,I-VT filter,,581,1,Fixation,833,963,533,655.7,655.7,0,0
