ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
Adult5,I-VT filter,,93,,Unclassified,8,927,441,649.39,649.39,0,0
Adult5,I-VT filter,,96,,Unclassified,8,926,439,649.39,649.39,0,0
Adult5,I-VT filter,,99,,Unclassified,8,929,439,649.39,649.39,0,0
Adult5,I-VT filter,,103,1,Fixation,127,928,441,649.4,649.4,0,0
Adult5,I-VT filter,,106,1,Fixation,127,927,441,649.41,649.41,0,0
Adult5,I-VT filter,,109,1,Fixation,127,925,439,649.41,649.41,0,0
Adult5,I-VT filter,,113,1,Fixation,127,924,436,649.4,649.4,0,0
Adult5,I-VT filter,,116,1,Fixation,127,928,440,649.43,649.43,0,0
Adult5,I-VT filter,,119,1,Fixation,127,927,438,649.42,649.42,0,0
Adult5,I-VT filter,,123,1,Fixation,127,928,438,649.42,649.42,0,0
Adult5,I-VT filter,,126,1,Fixation,127,928,435,649.42,649.42,0,0
Adult5,I-VT filter,,129,1,Fixation,127,928,439,649.42,649.42,0,0
Adult5,I-VT filter,,133,1,Fixation,127,926,440,649.43,649.43,0,0
Adult5,I-VT filter,,136,1,Fixation,127,926,440,649.43,649.43,0,0
Adult5,I-VT filter,,139,1,Fixation,127,927,438,649.45,649.45,0,0
Adult5,I-VT filter,,143,1,Fixation,127,929,440,649.46,649.46,0,0
Adult5,I-VT filter,,146,1,Fixation,127,929,439,649.41,649.41,0,0
Adult5,I-VT filter,,149,1,Fixation,127,929,435,649.44,649.44,0,0
Adult5,I-VT filter,,153,1,Fixation,127,929,440,649.45,649.45,0,0
Adult5,I-VT filter,,156,1,Fixation,127,926,441,649.44,649.44,0,0
Adult5,I-VT filter,,159,1,Fixation,127,930,441,649.43,649.43,0,0
Adult5,I-VT filter,,163,1,Fixation,127,927,444,649.45,649.45,0,0
Adult5,I-VT filter,,166,1,Fixation,127,930,440,649.44,649.44,0,0
Adult5,I-VT filter,,169,1,Fixation,127,928,442,649.44,649.44,0,0
Adult5,I-VT filter,,173,1,Fixation,127,927,440,649.44,649.44,0,0
Adult5,I-VT filter,,176,1,Fixation,127,925,438,649.44,649.44,0,0
Adult5,I-VT filter,,179,1,Fixation,127,926,440,649.45,649.45,0,0
Adult5,I-VT filter,,183,1,Fixation,127,926,440,649.45,649.45,0,0
Adult5,I-VT filter,,186,1,Fixation,127,926,435,649.45,649.45,0,0
Adult5,I-VT filter,,189,1,Fixation,127,925,440,649.45,649.45,0,0
Adult5,I-VT filter,,193,1,Fixation,127,929,440,649.44,649.44,0,0
Adult5,I-VT filter,,196,1,Fixation,127,927,442,649.43,649.43,0,0
Adult5,I-VT filter,,199,1,Fixation,127,928,441,649.43,649.43,0,0
Adult5,I-VT filter,,203,1,Fixation,127,928,443,649.42,649.42,0,0
Adult5,I-VT filter,,206,1,Fixation,127,929,442,649.42,649.42,0,0
Adult5,I-VT filter,,209,1,Fixation,127,927,444,649.45,649.45,0,0
Adult5,I-VT filter,,213,1,Fixation,127,926,439,649.43,649.43,0,0
Adult5,I-VT filter,,216,1,Fixation,127,928,444,649.45,649.45,0,0
Adult5,I-VT filter,,219,1,Fixation,127,931,446,649.43,649.43,0,0
Adult5,I-VT filter,,223,1,Fixation,127,930,442,649.45,649.45,0,0
Adult5,I-VT filter,,226,1,Fixation,127,930,443,649.43,649.43,0,0
Adult5,I-VT filter,,229,,Saccade,13,925,445,649.44,649.44,0,0
Adult5,I-VT filter,,233,,Saccade,13,928,458,649.43,649.43,0,0
Adult5,I-VT filter,,236,,Saccade,13,925,457,649.43,649.43,0,0
Adult5,I-VT filter,,239,,Saccade,13,921,469,649.48,649.48,0,0
Adult5,I-VT filter,,243,2,Fixation,757,923,476,649.42,649.42,0,0
Adult5,I-VT filter,,246,2,Fixation,757,925,477,649.43,649.43,0,0
Adult5,I-VT filter,,249,2,Fixation,757,922,480,649.43,649.43,0,0
Adult5,I-VT filter,,253,2,Fixation,757,924,473,649.43,649.43,0,0
Adult5,I-VT filter,,256,2,Fixation,757,923,474,649.41,649.41,0,0
Adult5,I-VT filter,,259,2,Fixation,757,927,472,649.43,649.43,0,0
Adult5,I-VT filter,,263,2,Fixation,757,924,478,649.42,649.42,0,0
Adult5,I-VT filter,,266,2,Fixation,757,922,476,649.44,649.44,0,0
Adult5,I-VT filter,,269,2,Fixation,757,922,475,649.45,649.45,0,0
Adult5,I-VT filter,,273,2,Fixation,757,925,475,649.45,649.45,0,0
Adult5,I-VT filter,,276,2,Fixation,757,923,476,649.44,649.44,0,0
Adult5,I-VT filter,,279,2,Fixation,757,925,478,649.45,649.45,0,0
Adult5,I-VT filter,,283,2,Fixation,757,928,477,649.45,649.45,0,0
Adult5,I-VT filter,,286,2,Fixation,757,923,474,649.46,649.46,0,0
Adult5,I-VT filter,,289,2,Fixation,757,922,479,649.43,649.43,0,0
Adult5,I-VT filter,,293,2,Fixation,757,924,477,649.44,649.44,0,0
Adult5,I-VT filter,,296,2,Fixation,757,924,478,649.46,649.46,0,0
Adult5,I-VT filter,,299,2,Fixation,757,925,479,649.45,649.45,0,0
Adult5,I-VT filter,,303,2,Fixation,757,924,479,649.45,649.45,0,0
Adult5,I-VT filter,,306,2,Fixation,757,923,475,649.44,649.44,0,0
